aula f 	аудитория
baño m 	туалет ванная
bolsa f 	сумка
cama f 	кровать
casado, casada 	женатый замужняя
claro, claro, que 	конечно
clase f 	занятие
comprar vt 	покупать
con 	с
conmigo 	со мной
cosa f 	вещь
cuándo 	когда
demasiado 	слишком
después 	после
difícil 	сложный
disco m 	диск
dormitorio m 	спальня
entonces 	тогда
equipaje m 	багаж
escritorio m 	письменный стол
estantería f 	стеллаж
estos, estas 	эти
euro m 	евро
extranjero m 	заграница
familia f 	семья
familiar 	семейный
fiesta f 	праздник
gente f 	люди
grande 	большой
grupo m 	группа
imposible 	невозможный, невозможно
maleta f 	чемодан
mayor 	старший
menor 	младший
a menudo 	часто
muerto 	мертвый
nada 	ничего
otro 	другой
para 	для, чтобы
paraguas m 	ЗОНТИК
parece 	кажется
parecido 	похожий
película f 	фильм
pequeño 	маленький
perdido 	потерянный
perdón m 	извини, извините
pero si 	но, ведь
piso 	квартира
por qué 	почему
porque 	потому что
puede 	может
rápido 	быстрый, быстро
regalo m 	подарок
salón m 	гостиная
silla f 	стул
¿vale? 	идет? ладно?
vámonos 	пойдем отсюда
vecina f, vecino m 	соседка, сосед
venir vi 	приходить
vida f 	жизнь
viernes m 	пятница
vino m 	вино
ya 	уже
